id;descripcion;precio_normal;precio_descuento;imagen_url;tallas;categoria
628;Denim silueta super slim para niño;139990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
629;Camiseta tipo polo para niño;79990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/840407/51343032-Rosado-11-1408_10.jpg?v=638455156297030000;10, 12, 14, 16, 8;Niños
630;Pantalón de sudadera para niño;115990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
631;Bermuda silueta cargo para niño;115990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
632;Camiseta manga corta con estampado para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
633;Bermuda para niño;85990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
634;Camiseta tipo polo para niño;79990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
635;Pantalón tipo parachute largo para niño;129990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
636;Camiseta oversize manga corta para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
637;Camiseta oversize manga corta para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
638;Chaqueta abierta con capucha silueta tipo rompevientos para niño;179990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
639;Pantalón tipo parachute largo para niño;129990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
640;Camiseta manga corta para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
641;Camiseta manga corta para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
642;Camiseta manga corta para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
643;Bermuda para niño;115990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
644;Camisa manga corta con corbatín para niño;63594.00;105990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
645;Camiseta manga corta para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
646;Sudadera para niño;125990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
647;Camiseta polo manga corta para niño;79990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
648;Tenis casuales para niño;155990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
649;Tenis bota para niño;169990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
650;Tenis casuales para niño;155990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
651;Medias tobilleras x 2 para niño;26990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/838204/51193341-Blanco-10-0000_1.jpg?v=638448394301870000;6/8, 8/10, 9/11;Niños
652;Camisa manga larga para niño;115990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
653;Camiseta manga corta para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
